央视频道,#genre#
广东卫视,http://223.110.241.150:6610/gitv/live1/G_GUANGDONG/G_GUANGDONG/
深圳卫视,http://223.110.241.150:6610/gitv/live1/G_SHENZHEN/G_SHENZHEN/
黑龙江卫视,http://223.110.241.150:6610/gitv/live1/G_HEILONGJIANG/G_HEILONGJIANG/
兵团卫视,http://223.110.241.150:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
陕西卫视,http://223.110.241.150:6610/gitv/live1/G_SHANXI/G_SHANXI/
南方卫视（广东）,http://223.110.241.150:6610/gitv/live1/G_NANFANG/G_NANFANG/
厦门卫视,http://223.110.241.150:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
山东卫视超清,http://223.110.241.150:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/


     
湖南卫视,http://39.134.135.125/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/index.m3u8  北京移动
湖南卫视,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226493/index.m3u8
江苏卫视,http://39.134.135.82/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226506/index.m3u8
浙江卫视,http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226247/index.m3u8
东方卫视,http://39.134.135.125/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226505/index.m3u8
广东卫视,http://39.134.135.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226508/index.m3u8
深圳卫视,http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/index.m3u8
北京卫视,http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/index.m3u8



港台新闻,#genre#
凤凰中文,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8   江苏移动
凤凰香港,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰中文,http://39.134.135.84/otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/index.m3u8    北京移动
凤凰资讯,http://39.134.135.125/otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/index.m3u8

凤凰中文,http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228608/index.m3u8    浙江移动
凤凰资讯,http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8

凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8  江苏移动
凤凰中文,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8

凤凰中文,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8   福建移动
凤凰资讯,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8

凤凰卫视 10M720,http://hdtv.lzu6.edu.cn/hls/hls254.m3u8     兰州大学
凤凰资讯 10M720,http://hdtv.lzu6.edu.cn/hls/hls255.m3u8

湖南频道,#genre#
快乐垂钓,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226549/1.m3u8    北京移动
快乐垂钓,http://39.134.135.125/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226549/index.m3u8
茶频道,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226548/1.m3u8
快乐垂钓,http://183.215.102.57:8089/180000001001/00000001000000000010000000040368/index.m3u8
快乐垂钓,http://hdtv.lzu6.edu.cn/hls/hls186a69.m3u8
茶频道,http://39.134.135.80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226548/index.m3u8
快乐垂钓,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a69.m3u8
茶频道,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls186a70.m3u8
Max极速汽车-高清,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/hls184a94.m3u8
茶频道,http://183.215.102.57:8089/180000001001/00000001000000000025000000316196/index.m3u8
茶频道,http://39.135.250.73/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226058/99180001000000060000000000000415.smil

